CreatedScenario;CompletedScenario;FailedScenario;
0;0;0;
45608;0;0;
155517;1010;0;
202440;2246;0;
202658;4614;0;
276392;6261;0;
276392;9242;0;
297075;12080;0;
393532;13710;0;
458645;14986;0;
496217;15351;0;
501401;15351;0;
505294;15351;0;
506557;15351;0;
507308;15351;0;
507933;15351;0;
508163;15351;0;
508363;15351;0;
515373;15626;0;
515373;18738;0;
515373;21666;0;
515373;26253;0;
515373;30420;0;
515373;35368;0;
515373;41092;0;
515373;45128;0;
515373;50215;0;
515373;55167;0;
515373;59845;0;
515373;65475;0;
515373;70888;0;
515373;75876;0;
515373;81562;0;
515373;86150;0;
515373;91056;0;
515373;96470;0;
515373;101887;0;
515373;106502;0;
